id,label
0,6
1,6
2,1
3,5
4,8
5,5
6,2
7,6
8,2
9,7
10,4
11,7
12,4
13,9
14,7
15,8
16,9
17,9
18,5
19,9
20,8
21,6
22,4
23,3
24,2
25,6
26,5
27,2
28,7
29,1
30,7
31,2
32,0
33,0
34,5
35,2
36,5
37,7
38,1
39,8
40,3
41,5
42,0
43,4
44,0
45,3
46,7
47,2
48,4
49,9
50,6
51,6
52,1
53,2
54,2
55,5
56,2
57,0
58,5
59,1
60,1
61,7
62,4
63,1
64,2
65,3
66,2
67,6
68,3
69,5
70,2
71,5
72,0
73,3
74,9
75,3
76,4
77,3
78,4
79,4
80,8
81,2
82,0
83,2
84,8
85,1
86,5
87,7
88,7
89,4
90,5
91,2
92,3
93,7
94,4
95,0
96,3
97,3
98,7
99,1
100,5
101,0
102,0
103,8
104,3
105,6
106,9
107,1
108,7
109,3
110,3
111,2
112,9
113,5
114,0
115,9
116,1
117,4
118,4
119,9
120,0
121,0
122,5
123,0
124,6
125,9
126,3
127,4
128,4
129,3
130,9
131,8
132,5
133,1
134,3
135,6
136,5
137,9
138,5
139,0
140,5
141,7
142,4
143,1
144,0
145,9
146,4
147,2
148,1
149,4
150,4
151,6
152,3
153,9
154,4
155,4
156,5
157,3
158,2
159,9
160,8
161,9
162,3
163,7
164,3
165,2
166,4
167,4
168,5
169,4
170,0
171,9
172,8
173,2
174,3
175,8
176,1
177,0
178,3
179,6
180,4
181,6
182,1
183,8
184,6
185,0
186,5
187,8
188,5
189,0
190,6
191,3
192,9
193,3
194,6
195,9
196,3
197,9
198,7
199,8
200,8
201,3
202,1
203,3
204,0
205,8
206,0
207,5
208,8
209,2
210,0
211,7
212,7
213,3
214,4
215,9
216,4
217,0
218,9
219,3
220,7
221,6
222,8
223,8
224,8
225,3
226,6
227,4
228,0
229,6
230,4
231,6
232,2
233,8
234,7
235,8
236,6
237,3
238,0
239,0
240,9
241,6
242,6
243,7
244,8
245,4
246,7
247,8
248,5
249,1
250,9
251,2
252,9
253,6
254,8
255,5
256,4
257,9
258,6
259,1
260,3
261,1
262,2
263,8
264,1
265,3
266,1
267,5
268,7
269,4
270,0
271,4
272,6
273,4
274,6
275,8
276,7
277,1
278,1
279,9
280,8
281,1
282,1
283,7
284,1
285,9
286,4
287,4
288,8
289,8
290,9
291,6
292,9
293,2
294,3
295,3
296,5
297,6
298,8
299,1
300,2
301,0
302,1
303,6
304,7
305,0
306,1
307,6
308,6
309,1
310,2
311,3
312,9
313,0
314,9
315,7
316,4
317,2
318,5
319,5
320,7
321,8
322,0
323,5
324,0
325,9
326,9
327,1
328,2
329,1
330,2
331,3
332,6
333,3
334,3
335,4
336,3
337,6
338,9
339,8
340,7
341,6
342,1
343,3
344,5
345,8
346,4
347,9
348,5
349,1
350,3
351,0
352,8
353,7
354,9
355,7
356,6
357,9
358,5
359,4
360,2
361,1
362,9
363,3
364,8
365,4
366,7
367,8
368,8
369,2
370,9
371,1
372,4
373,8
374,2
375,5
376,2
377,2
378,8
379,9
380,7
381,8
382,4
383,9
384,5
385,4
386,0
387,4
388,8
389,6
390,2
391,8
392,0
393,8
394,9
395,1
396,6
397,7
398,9
399,3
400,2
401,0
402,1
403,2
404,6
405,6
406,4
407,0
408,1
409,4
410,4
411,0
412,8
413,4
414,9
415,3
416,5
417,0
418,9
419,9
420,9
421,0
422,7
423,4
424,7
425,4
426,3
427,1
428,6
429,8
430,4
431,8
432,0
433,8
434,3
435,6
436,8
437,5
438,5
439,1
440,8
441,1
442,4
443,5
444,2
445,6
446,7
447,7
448,1
449,8
450,8
451,2
452,1
453,1
454,8
455,0
456,3
457,4
458,1
459,1
460,3
461,8
462,6
463,3
464,5
465,2
466,9
467,0
468,3
469,9
470,7
471,6
472,0
473,9
474,4
475,2
476,5
477,5
478,1
479,0
480,0
481,2
482,7
483,8
484,4
485,0
486,2
487,6
488,9
489,6
490,1
491,4
492,2
493,8
494,2
495,0
496,0
497,2
498,6
499,8
500,9
501,6
502,7
503,5
504,7
505,6
506,9
507,8
508,4
509,5
510,0
511,9
512,7
513,4
514,3
515,6
516,2
517,6
518,0
519,6
520,4
521,6
522,0
523,6
524,8
525,7
526,7
527,6
528,6
529,9
530,2
531,7
532,9
533,1
534,2
535,6
536,8
537,3
538,2
539,5
540,1
541,7
542,5
543,4
544,8
545,5
546,3
547,4
548,2
549,0
550,1
551,3
552,4
553,5
554,3
555,5
556,9
557,0
558,5
559,6
560,3
561,6
562,9
563,0
564,1
565,6
566,0
567,2
568,9
569,3
570,7
571,8
572,5
573,8
574,4
575,2
576,0
577,9
578,9
579,7
580,9
581,5
582,7
583,3
584,3
585,4
586,9
587,7
588,6
589,2
590,7
591,5
592,8
593,1
594,5
595,7
596,8
597,5
598,7
599,5
600,9
601,2
602,1
603,5
604,7
605,3
606,2
607,8
608,7
609,8
610,0
611,6
612,9
613,9
614,8
615,4
616,2
617,4
618,5
619,0
620,5
621,1
622,6
623,5
624,1
625,7
626,6
627,9
628,5
629,4
630,5
631,7
632,3
633,4
634,6
635,0
636,4
637,1
638,6
639,8
640,4
641,9
642,3
643,5
644,9
645,2
646,4
647,6
648,7
649,9
650,3
651,2
652,3
653,1
654,7
655,9
656,9
657,4
658,5
659,6
660,2
661,9
662,5
663,3
664,1
665,6
666,9
667,4
668,8
669,2
670,5
671,8
672,2
673,1
674,9
675,8
676,6
677,4
678,0
679,1
680,5
681,2
